x,y
0,7.7424e-10
5005,-4.5045
10010,-9.009
15015,-13.514
20020,-18.018
25025,-22.523
30030,-27.027
35035,-31.532
40040,-36.036
45045,-40.541
50050,-45.045
55055,-49.55
60060,-54.054
65065,-58.559
70070,-63.063
75075,-67.568
80080,-72.072
85085,-76.577
90090,-81.081
95095,-85.586
1.001e+05,-90.09
1.0511e+05,-94.595
1.1011e+05,-99.099
1.1512e+05,-103.6
1.2012e+05,-108.11
1.2513e+05,-112.61
1.3013e+05,-117.12
1.3514e+05,-121.62
1.4014e+05,-126.13
1.4515e+05,-130.63
1.5015e+05,-135.14
1.5516e+05,-139.64
1.6016e+05,-144.14
1.6517e+05,-148.65
1.7017e+05,-153.15
1.7518e+05,-157.66
1.8018e+05,-162.16
1.8519e+05,-166.67
1.9019e+05,-171.17
1.952e+05,-175.68
2.002e+05,-0.17931
2.0521e+05,-4.6847
2.1021e+05,-9.1892
2.1522e+05,-13.694
2.2022e+05,-18.198
2.2523e+05,-22.703
2.3023e+05,-27.207
2.3524e+05,-31.712
2.4024e+05,-36.216
2.4525e+05,-40.721
2.5025e+05,-45.225
2.5526e+05,-49.73
2.6026e+05,-54.234
2.6527e+05,-58.739
2.7027e+05,-63.243
2.7528e+05,-67.748
2.8028e+05,-72.252
2.8529e+05,-76.757
2.9029e+05,-81.261
2.953e+05,-85.766
3.003e+05,-90.27
3.0531e+05,-94.775
3.1031e+05,-99.279
3.1532e+05,-103.78
3.2032e+05,-108.29
3.2533e+05,-112.79
3.3033e+05,-117.3
3.3534e+05,-121.8
3.4034e+05,-126.31
3.4535e+05,-130.81
3.5035e+05,-135.32
3.5536e+05,-139.82
3.6036e+05,-144.32
3.6537e+05,-148.83
3.7037e+05,-153.33
3.7538e+05,-157.84
3.8038e+05,-162.34
3.8539e+05,-166.85
3.9039e+05,-171.35
3.954e+05,-175.86
4.004e+05,-0.35992
4.0541e+05,-4.8648
4.1041e+05,-9.3694
4.1542e+05,-13.874
4.2042e+05,-18.378
4.2543e+05,-22.883
4.3043e+05,-27.387
4.3544e+05,-31.892
4.4044e+05,-36.396
4.4545e+05,-40.901
4.5045e+05,-45.405
4.5546e+05,-49.91
4.6046e+05,-54.414
4.6547e+05,-58.919
4.7047e+05,-63.423
4.7548e+05,-67.928
4.8048e+05,-72.432
4.8549e+05,-76.937
4.9049e+05,-81.441
4.955e+05,-85.946
5.005e+05,-90.45
5.0551e+05,-94.955
5.1051e+05,-99.459
5.1552e+05,-103.96
5.2052e+05,-108.47
5.2553e+05,-112.97
5.3053e+05,-117.48
5.3554e+05,-121.98
5.4054e+05,-126.49
5.4555e+05,-130.99
5.5055e+05,-135.5
5.5556e+05,-140
5.6056e+05,-144.5
5.6557e+05,-149.01
5.7057e+05,-153.51
5.7558e+05,-158.02
5.8058e+05,-162.52
5.8559e+05,-167.03
5.9059e+05,-171.53
5.956e+05,-176.04
6.006e+05,-0.54025
6.0561e+05,-5.045
6.1061e+05,-9.5495
6.1562e+05,-14.054
6.2062e+05,-18.559
6.2563e+05,-23.063
6.3063e+05,-27.568
6.3564e+05,-32.072
6.4064e+05,-36.577
6.4565e+05,-41.081
6.5065e+05,-45.586
6.5566e+05,-50.09
6.6066e+05,-54.595
6.6567e+05,-59.099
6.7067e+05,-63.604
6.7568e+05,-68.108
6.8068e+05,-72.613
6.8569e+05,-77.117
6.9069e+05,-81.622
6.957e+05,-86.126
7.007e+05,-90.631
7.0571e+05,-95.135
7.1071e+05,-99.64
7.1572e+05,-104.14
7.2072e+05,-108.65
7.2573e+05,-113.15
7.3073e+05,-117.66
7.3574e+05,-122.16
7.4074e+05,-126.67
7.4575e+05,-131.17
7.5075e+05,-135.68
7.5576e+05,-140.18
7.6076e+05,-144.68
7.6577e+05,-149.19
7.7077e+05,-153.69
7.7578e+05,-158.2
7.8078e+05,-162.7
7.8579e+05,-167.21
7.9079e+05,-171.71
7.958e+05,-176.22
8.008e+05,-0.7205
8.0581e+05,-5.2252
8.1081e+05,-9.7297
8.1582e+05,-14.234
8.2082e+05,-18.739
8.2583e+05,-23.243
8.3083e+05,-27.748
8.3584e+05,-32.252
8.4084e+05,-36.757
8.4585e+05,-41.261
8.5085e+05,-45.766
8.5586e+05,-50.27
8.6086e+05,-54.775
8.6587e+05,-59.279
8.7087e+05,-63.784
8.7588e+05,-68.288
8.8088e+05,-72.793
8.8589e+05,-77.297
8.9089e+05,-81.802
8.959e+05,-86.306
9.009e+05,-90.811
9.0591e+05,-95.315
9.1091e+05,-99.82
9.1592e+05,-104.32
9.2092e+05,-108.83
9.2593e+05,-113.33
9.3093e+05,-117.84
9.3594e+05,-122.34
9.4094e+05,-126.85
9.4595e+05,-131.35
9.5095e+05,-135.86
9.5596e+05,-140.36
9.6096e+05,-144.86
9.6597e+05,-149.37
9.7097e+05,-153.87
9.7598e+05,-158.38
9.8098e+05,-162.88
9.8599e+05,-167.39
9.9099e+05,-171.89
9.96e+05,-176.4
1.001e+06,-0.90073
1.006e+06,-5.4054
1.011e+06,-9.9099
1.016e+06,-14.414
1.021e+06,-18.919
1.026e+06,-23.423
1.031e+06,-27.928
1.036e+06,-32.432
1.041e+06,-36.937
1.046e+06,-41.441
1.0511e+06,-45.946
1.0561e+06,-50.45
1.0611e+06,-54.955
1.0661e+06,-59.459
1.0711e+06,-63.964
1.0761e+06,-68.468
1.0811e+06,-72.973
1.0861e+06,-77.477
1.0911e+06,-81.982
1.0961e+06,-86.486
1.1011e+06,-90.991
1.1061e+06,-95.495
1.1111e+06,-100
1.1161e+06,-104.5
1.1211e+06,-109.01
1.1261e+06,-113.51
1.1311e+06,-118.02
1.1361e+06,-122.52
1.1411e+06,-127.03
1.1461e+06,-131.53
1.1512e+06,-136.04
1.1562e+06,-140.54
1.1612e+06,-145.05
