x,y
0,0.80134
5005,1.6014
10010,1.5974
15015,1.5908
20020,1.5816
25025,1.5699
30030,1.5556
35035,1.5388
40040,1.5196
45045,1.498
50050,1.4741
55055,1.448
60060,1.4198
65065,1.3894
70070,1.3572
75075,1.323
80080,1.2872
85085,1.2497
90090,1.2106
95095,1.1702
1.001e+05,1.1285
1.0511e+05,1.0857
1.1011e+05,1.0418
1.1512e+05,0.99714
1.2012e+05,0.9517
1.2513e+05,0.90567
1.3013e+05,0.85919
1.3514e+05,0.8124
1.4014e+05,0.76545
1.4515e+05,0.71848
1.5015e+05,0.67164
1.5516e+05,0.62508
1.6016e+05,0.57894
1.6517e+05,0.53339
1.7017e+05,0.48858
1.7518e+05,0.44467
1.8018e+05,0.40185
1.8519e+05,0.36032
1.9019e+05,0.3203
1.952e+05,0.28208
2.002e+05,0.24601
2.0521e+05,0.21256
2.1021e+05,0.18243
2.1522e+05,0.15658
2.2022e+05,0.13631
2.2523e+05,0.12313
2.3023e+05,0.11805
2.3524e+05,0.1208
2.4024e+05,0.1297
2.4525e+05,0.14257
2.5025e+05,0.15752
2.5526e+05,0.17324
2.6026e+05,0.18887
2.6527e+05,0.20385
2.7027e+05,0.21784
2.7528e+05,0.23061
2.8028e+05,0.24202
2.8529e+05,0.25197
2.9029e+05,0.26042
2.953e+05,0.26734
3.003e+05,0.27273
3.0531e+05,0.2766
3.1031e+05,0.27898
3.1532e+05,0.27991
3.2032e+05,0.27944
3.2533e+05,0.27762
3.3033e+05,0.27452
3.3534e+05,0.2702
3.4034e+05,0.26474
3.4535e+05,0.25823
3.5035e+05,0.25075
3.5536e+05,0.24239
3.6036e+05,0.23325
3.6537e+05,0.22344
3.7037e+05,0.21306
3.7538e+05,0.20223
3.8038e+05,0.19107
3.8539e+05,0.17972
3.9039e+05,0.16832
3.954e+05,0.15703
4.004e+05,0.14602
4.0541e+05,0.1355
4.1041e+05,0.12567
4.1542e+05,0.11679
4.2042e+05,0.10911
4.2543e+05,0.10288
4.3043e+05,0.098316
4.3544e+05,0.095565
4.4044e+05,0.094646
4.4545e+05,0.095446
4.5045e+05,0.097736
4.5546e+05,0.10122
4.6046e+05,0.10557
4.6547e+05,0.11049
4.7047e+05,0.11571
4.7548e+05,0.121
4.8048e+05,0.1262
4.8549e+05,0.13114
4.9049e+05,0.13572
4.955e+05,0.13985
5.005e+05,0.14347
5.0551e+05,0.14652
5.1051e+05,0.14896
5.1552e+05,0.15078
5.2052e+05,0.15196
5.2553e+05,0.15249
5.3053e+05,0.15238
5.3554e+05,0.15165
5.4054e+05,0.15031
5.4555e+05,0.14838
5.5055e+05,0.1459
5.5556e+05,0.1429
5.6056e+05,0.13942
5.6557e+05,0.13551
5.7057e+05,0.13123
5.7558e+05,0.12662
5.8058e+05,0.12176
5.8559e+05,0.11672
5.9059e+05,0.11156
5.956e+05,0.10638
6.006e+05,0.10126
6.0561e+05,0.096307
6.1061e+05,0.09162
6.1562e+05,0.087307
6.2062e+05,0.083479
6.2563e+05,0.08024
6.3063e+05,0.077678
6.3564e+05,0.075861
6.4064e+05,0.074821
6.4565e+05,0.074552
6.5065e+05,0.075007
6.5566e+05,0.076107
6.6066e+05,0.077748
6.6567e+05,0.079813
6.7067e+05,0.082182
6.7568e+05,0.084741
6.8068e+05,0.087387
6.8569e+05,0.090025
6.9069e+05,0.092578
6.957e+05,0.094977
7.007e+05,0.097166
7.0571e+05,0.099101
7.1071e+05,0.10074
7.1572e+05,0.10207
7.2072e+05,0.10305
7.2573e+05,0.10368
7.3073e+05,0.10395
7.3574e+05,0.10385
7.4074e+05,0.1034
7.4575e+05,0.10259
7.5075e+05,0.10144
7.5576e+05,0.099968
7.6076e+05,0.098194
7.6577e+05,0.096144
7.7077e+05,0.093846
7.7578e+05,0.091336
7.8078e+05,0.088651
7.8579e+05,0.085832
7.9079e+05,0.082927
7.958e+05,0.079985
8.008e+05,0.077061
8.0581e+05,0.074211
8.1081e+05,0.071497
8.1582e+05,0.068979
8.2082e+05,0.066717
8.2583e+05,0.064768
8.3083e+05,0.06318
8.3584e+05,0.061992
8.4084e+05,0.061225
8.4585e+05,0.060884
8.5085e+05,0.060957
8.5586e+05,0.061411
8.6086e+05,0.062202
8.6587e+05,0.063276
