x,y
0,8.9972e-10
5005,-5.1897
10010,-10.38
15015,-15.572
20020,-20.766
25025,-25.963
30030,-31.163
35035,-36.368
40040,-41.579
45045,-46.795
50050,-52.019
55055,-57.251
60060,-62.491
65065,-67.743
70070,-73.006
75075,-78.282
80080,-83.572
85085,-88.879
90090,-94.204
95095,-99.55
1.001e+05,-104.92
1.0511e+05,-110.31
1.1011e+05,-115.74
1.1512e+05,-121.19
1.2012e+05,-126.69
1.2513e+05,-132.22
1.3013e+05,-137.81
1.3514e+05,-143.45
1.4014e+05,-149.15
1.4515e+05,-154.93
1.5015e+05,-160.8
1.5516e+05,-166.77
1.6016e+05,-172.86
1.6517e+05,-179.11
1.7017e+05,174.46
1.7518e+05,167.8
1.8018e+05,160.86
1.8519e+05,153.55
1.9019e+05,145.77
1.952e+05,137.37
2.002e+05,128.13
2.0521e+05,117.75
2.1021e+05,105.83
2.1522e+05,91.868
2.2022e+05,75.442
2.2523e+05,56.601
2.3023e+05,36.409
2.3524e+05,16.739
2.4024e+05,-0.87829
2.4525e+05,-15.982
2.5025e+05,-28.854
2.5526e+05,-39.992
2.6026e+05,-49.852
2.6527e+05,-58.779
2.7027e+05,-67.023
2.7528e+05,-74.763
2.8028e+05,-82.125
2.8529e+05,-89.202
2.9029e+05,-96.063
2.953e+05,-102.76
3.003e+05,-109.33
3.0531e+05,-115.81
3.1031e+05,-122.23
3.1532e+05,-128.6
3.2032e+05,-134.95
3.2533e+05,-141.29
3.3033e+05,-147.63
3.3534e+05,-154.01
3.4034e+05,-160.42
3.4535e+05,-166.89
3.5035e+05,-173.44
3.5536e+05,179.92
3.6036e+05,173.17
3.6537e+05,166.28
3.7037e+05,159.22
3.7538e+05,151.96
3.8038e+05,144.46
3.8539e+05,136.67
3.9039e+05,128.53
3.954e+05,119.99
4.004e+05,110.96
4.0541e+05,101.36
4.1041e+05,91.108
4.1542e+05,80.128
4.2042e+05,68.379
4.2543e+05,55.887
4.3043e+05,42.77
4.3544e+05,29.254
4.4044e+05,15.648
4.4545e+05,2.2767
4.5045e+05,-10.587
4.5546e+05,-22.774
4.6046e+05,-34.218
4.6547e+05,-44.933
4.7047e+05,-54.981
4.7548e+05,-64.444
4.8048e+05,-73.408
4.8549e+05,-81.955
4.9049e+05,-90.154
4.955e+05,-98.07
5.005e+05,-105.75
5.0551e+05,-113.25
5.1051e+05,-120.6
5.1552e+05,-127.83
5.2052e+05,-134.98
5.2553e+05,-142.07
5.3053e+05,-149.12
5.3554e+05,-156.15
5.4054e+05,-163.19
5.4555e+05,-170.25
5.5055e+05,-177.35
5.5556e+05,175.48
5.6056e+05,168.22
5.6557e+05,160.85
5.7057e+05,153.35
5.7558e+05,145.69
5.8058e+05,137.83
5.8559e+05,129.75
5.9059e+05,121.4
5.956e+05,112.75
6.006e+05,103.77
6.0561e+05,94.397
6.1061e+05,84.614
6.1562e+05,74.393
6.2062e+05,63.731
6.2563e+05,52.651
6.3063e+05,41.211
6.3564e+05,29.507
6.4064e+05,17.665
6.4565e+05,5.8315
6.5065e+05,-5.8522
6.5566e+05,-17.265
6.6066e+05,-28.319
6.6567e+05,-38.964
6.7067e+05,-49.184
6.7568e+05,-58.988
6.8068e+05,-68.403
6.8569e+05,-77.463
6.9069e+05,-86.209
6.957e+05,-94.683
7.007e+05,-102.92
7.0571e+05,-110.96
7.1071e+05,-118.84
7.1572e+05,-126.58
7.2072e+05,-134.22
7.2573e+05,-141.77
7.3073e+05,-149.27
7.3574e+05,-156.73
7.4074e+05,-164.18
7.4575e+05,-171.64
7.5075e+05,-179.12
7.5576e+05,173.35
7.6076e+05,165.76
7.6577e+05,158.07
7.7077e+05,150.28
7.7578e+05,142.35
7.8078e+05,134.26
7.8579e+05,125.99
7.9079e+05,117.51
7.958e+05,108.79
8.008e+05,99.807
8.0581e+05,90.538
8.1081e+05,80.966
8.1582e+05,71.082
8.2082e+05,60.891
8.2583e+05,50.412
8.3083e+05,39.685
8.3584e+05,28.769
8.4084e+05,17.738
8.4585e+05,6.6787
8.5085e+05,-4.3204
8.5586e+05,-15.178
8.6086e+05,-25.827
8.6587e+05,-36.217
8.7087e+05,-46.321
8.7588e+05,-56.126
8.8088e+05,-65.636
8.8589e+05,-74.864
8.9089e+05,-83.83
8.959e+05,-92.56
9.009e+05,-101.08
9.0591e+05,-109.41
9.1091e+05,-117.59
9.1592e+05,-125.64
9.2092e+05,-133.58
9.2593e+05,-141.43
9.3093e+05,-149.22
9.3594e+05,-156.97
9.4094e+05,-164.7
9.4595e+05,-172.42
9.5095e+05,179.84
9.5596e+05,172.06
9.6096e+05,164.23
9.6597e+05,156.33
9.7097e+05,148.33
9.7598e+05,140.22
9.8098e+05,131.98
9.8599e+05,123.58
9.9099e+05,115
9.96e+05,106.23
1.001e+06,97.242
1.006e+06,88.026
1.011e+06,78.573
1.016e+06,68.877
1.021e+06,58.947
1.026e+06,48.798
1.031e+06,38.462
1.036e+06,27.979
1.041e+06,17.402
1.046e+06,6.7923
1.0511e+06,-3.7896
1.0561e+06,-14.284
1.0611e+06,-24.638
1.0661e+06,-34.812
1.0711e+06,-44.776
1.0761e+06,-54.514
1.0811e+06,-64.02
1.0861e+06,-73.298
1.0911e+06,-82.359
