x,y
0,0
1e-12,1e-06
2e-12,2e-06
5e-12,5e-06
1.4e-11,1.4e-05
4.1e-11,4.0999e-05
1.22e-10,0.00012199
2.22e-10,0.00022198
3.22e-10,0.00032195
4.22e-10,0.00042191
5.22e-10,0.00052186
6.22e-10,0.00062181
7.22e-10,0.00072174
8.22e-10,0.00082166
9.22e-10,0.00092158
1.022e-09,0.0010215
1.122e-09,0.0011214
1.222e-09,0.0012213
1.322e-09,0.0013211
1.422e-09,0.001421
1.522e-09,0.0015208
1.622e-09,0.0016207
1.722e-09,0.0017205
1.822e-09,0.0018203
1.922e-09,0.0019202
2.022e-09,0.00202
2.122e-09,0.0021198
2.222e-09,0.0022195
2.322e-09,0.0023193
2.422e-09,0.0024191
2.522e-09,0.0025188
2.622e-09,0.0026186
2.722e-09,0.0027183
2.822e-09,0.002818
2.922e-09,0.0029177
3.022e-09,0.0030174
3.122e-09,0.0031171
3.222e-09,0.0032168
3.322e-09,0.0033165
3.422e-09,0.0034162
3.522e-09,0.0035158
3.622e-09,0.0036154
3.722e-09,0.0037151
3.822e-09,0.0038147
3.922e-09,0.0039143
4.022e-09,0.0040139
4.122e-09,0.0041135
4.222e-09,0.0042131
4.322e-09,0.0043127
4.422e-09,0.0044122
4.522e-09,0.0045118
4.622e-09,0.0046113
4.722e-09,0.0047109
4.822e-09,0.0048104
4.922e-09,0.0049099
5.022e-09,0.0050094
5.122e-09,0.0051089
5.222e-09,0.0052084
5.322e-09,0.0053079
5.422e-09,0.0054073
5.522e-09,0.0055068
5.622e-09,0.0056062
5.722e-09,0.0057057
5.822e-09,0.0058051
5.922e-09,0.0059045
6.022e-09,0.0060039
6.122e-09,0.0061033
6.222e-09,0.0062027
6.322e-09,0.0063021
6.422e-09,0.0064014
6.522e-09,0.0065008
6.622e-09,0.0066001
6.722e-09,0.0066995
6.822e-09,0.0067988
6.922e-09,0.0068981
7.022e-09,0.0069974
7.122e-09,0.0070967
7.222e-09,0.007196
7.322e-09,0.0072953
7.422e-09,0.0073945
7.522e-09,0.0074938
7.622e-09,0.007593
7.722e-09,0.0076923
7.822e-09,0.0077915
7.922e-09,0.0078907
8.022e-09,0.0079899
8.122e-09,0.0080891
8.222e-09,0.0081883
8.322e-09,0.0082875
8.422e-09,0.0083866
8.522e-09,0.0084858
8.622e-09,0.0085849
8.722e-09,0.0086841
8.822e-09,0.0087832
8.922e-09,0.0088823
9.022e-09,0.0089814
9.122e-09,0.0090805
9.222e-09,0.0091796
9.322e-09,0.0092787
9.422e-09,0.0093778
9.522e-09,0.0094768
9.622e-09,0.0095759
9.722e-09,0.0096749
9.822e-09,0.0097739
9.922e-09,0.0098729
1.0022e-08,0.0099719
1.0122e-08,0.010071
1.0222e-08,0.01017
1.0322e-08,0.010269
1.0422e-08,0.010368
1.0522e-08,0.010467
1.0622e-08,0.010566
1.0722e-08,0.010665
1.0822e-08,0.010764
1.0922e-08,0.010863
1.1022e-08,0.010961
1.1122e-08,0.01106
1.1222e-08,0.011159
1.1322e-08,0.011258
1.1422e-08,0.011357
1.1522e-08,0.011456
1.1622e-08,0.011555
1.1722e-08,0.011654
1.1822e-08,0.011752
1.1922e-08,0.011851
1.2022e-08,0.01195
1.2122e-08,0.012049
1.2222e-08,0.012148
1.2322e-08,0.012246
1.2422e-08,0.012345
1.2522e-08,0.012444
1.2622e-08,0.012543
1.2722e-08,0.012641
1.2822e-08,0.01274
1.2922e-08,0.012839
1.3022e-08,0.012938
1.3122e-08,0.013036
1.3222e-08,0.013135
1.3322e-08,0.013234
1.3422e-08,0.013332
1.3522e-08,0.013431
1.3622e-08,0.01353
1.3722e-08,0.013628
1.3822e-08,0.013727
1.3922e-08,0.013826
1.4022e-08,0.013924
1.4122e-08,0.014023
1.4222e-08,0.014121
1.4322e-08,0.01422
1.4422e-08,0.014319
1.4522e-08,0.014417
1.4622e-08,0.014516
1.4722e-08,0.014614
1.4822e-08,0.014713
1.4922e-08,0.014811
1.5022e-08,0.01491
1.5122e-08,0.015008
1.5222e-08,0.015107
1.5322e-08,0.015205
1.5422e-08,0.015304
1.5522e-08,0.015402
1.5622e-08,0.015501
1.5722e-08,0.015599
1.5822e-08,0.015697
1.5922e-08,0.015796
1.6022e-08,0.015894
1.6122e-08,0.015993
1.6222e-08,0.016091
1.6322e-08,0.01619
1.6422e-08,0.016288
1.6522e-08,0.016386
1.6622e-08,0.016485
1.6722e-08,0.016583
1.6822e-08,0.016681
1.6922e-08,0.01678
1.7022e-08,0.016878
1.7122e-08,0.016976
1.7222e-08,0.017075
1.7322e-08,0.017173
1.7422e-08,0.017271
1.7522e-08,0.017369
1.7622e-08,0.017468
1.7722e-08,0.017566
1.7822e-08,0.017664
1.7922e-08,0.017762
1.8022e-08,0.017861
1.8122e-08,0.017959
1.8222e-08,0.018057
1.8322e-08,0.018155
1.8422e-08,0.018253
1.8522e-08,0.018352
1.8622e-08,0.01845
1.8722e-08,0.018548
1.8822e-08,0.018646
1.8922e-08,0.018744
1.9022e-08,0.018842
1.9122e-08,0.01894
1.9222e-08,0.019038
1.9322e-08,0.019137
1.9422e-08,0.019235
1.9522e-08,0.019333
1.9622e-08,0.019431
1.9722e-08,0.019529
1.9822e-08,0.019627
1.9922e-08,0.019725
2.0022e-08,0.019823
2.0122e-08,0.019921
2.0222e-08,0.020019
2.0322e-08,0.020117
2.0422e-08,0.020215
2.0522e-08,0.020313
2.0622e-08,0.020411
2.0722e-08,0.020509
2.0822e-08,0.020607
2.0922e-08,0.020705
2.1022e-08,0.020803
2.1122e-08,0.0209
2.1222e-08,0.020998
2.1322e-08,0.021096
2.1422e-08,0.021194
2.1522e-08,0.021292
2.1622e-08,0.02139
2.1722e-08,0.021488
2.1822e-08,0.021586
2.1922e-08,0.021683
2.2022e-08,0.021781
2.2122e-08,0.021879
2.2222e-08,0.021977
2.2322e-08,0.022075
2.2422e-08,0.022172
2.2522e-08,0.02227
2.2622e-08,0.022368
2.2722e-08,0.022466
2.2822e-08,0.022564
2.2922e-08,0.022661
2.3022e-08,0.022759
2.3122e-08,0.022857
2.3222e-08,0.022954
2.3322e-08,0.023052
2.3422e-08,0.02315
2.3522e-08,0.023248
2.3622e-08,0.023345
2.3722e-08,0.023443
2.3822e-08,0.02354
2.3922e-08,0.023638
2.4022e-08,0.023736
2.4122e-08,0.023833
2.4222e-08,0.023931
2.4322e-08,0.024029
2.4422e-08,0.024126
2.4522e-08,0.024224
2.4622e-08,0.024321
2.4722e-08,0.024419
2.4822e-08,0.024516
2.4922e-08,0.024614
2.5022e-08,0.024712
2.5122e-08,0.024809
2.5222e-08,0.024907
2.5322e-08,0.025004
2.5422e-08,0.025102
2.5522e-08,0.025199
2.5622e-08,0.025297
2.5722e-08,0.025394
2.5822e-08,0.025491
2.5922e-08,0.025589
2.6022e-08,0.025686
2.6122e-08,0.025784
2.6222e-08,0.025881
2.6322e-08,0.025979
2.6422e-08,0.026076
2.6522e-08,0.026173
2.6622e-08,0.026271
2.6722e-08,0.026368
2.6822e-08,0.026465
2.6922e-08,0.026563
2.7022e-08,0.02666
2.7122e-08,0.026758
2.7222e-08,0.026855
2.7322e-08,0.026952
2.7422e-08,0.027049
2.7522e-08,0.027147
2.7622e-08,0.027244
2.7722e-08,0.027341
2.7822e-08,0.027439
2.7922e-08,0.027536
2.8022e-08,0.027633
2.8122e-08,0.02773
2.8222e-08,0.027827
2.8322e-08,0.027925
2.8422e-08,0.028022
2.8522e-08,0.028119
2.8622e-08,0.028216
2.8722e-08,0.028313
2.8822e-08,0.028411
2.8922e-08,0.028508
2.9022e-08,0.028605
2.9122e-08,0.028702
2.9222e-08,0.028799
2.9322e-08,0.028896
2.9422e-08,0.028993
2.9522e-08,0.02909
2.9622e-08,0.029188
2.9722e-08,0.029285
2.9822e-08,0.029382
2.9922e-08,0.029479
3.0022e-08,0.029576
3.0122e-08,0.029673
3.0222e-08,0.02977
3.0322e-08,0.029867
3.0422e-08,0.029964
3.0522e-08,0.030061
3.0622e-08,0.030158
3.0722e-08,0.030255
3.0822e-08,0.030352
3.0922e-08,0.030449
3.1022e-08,0.030546
3.1122e-08,0.030643
3.1222e-08,0.03074
3.1322e-08,0.030837
3.1422e-08,0.030933
3.1522e-08,0.03103
3.1622e-08,0.031127
3.1722e-08,0.031224
3.1822e-08,0.031321
3.1922e-08,0.031418
3.2022e-08,0.031515
3.2122e-08,0.031612
3.2222e-08,0.031708
3.2322e-08,0.031805
3.2422e-08,0.031902
3.2522e-08,0.031999
3.2622e-08,0.032096
3.2722e-08,0.032192
3.2822e-08,0.032289
3.2922e-08,0.032386
3.3022e-08,0.032483
3.3122e-08,0.032579
3.3222e-08,0.032676
3.3322e-08,0.032773
3.3422e-08,0.03287
3.3522e-08,0.032966
3.3622e-08,0.033063
3.3722e-08,0.03316
3.3822e-08,0.033256
3.3922e-08,0.033353
