"time
References : ['I_cap4.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_cap4.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A
10.00 asec,0.02000E-36A
20.00 asec,0.05984E-36A
50.00 asec,5.851E-36A
140.0 asec,0.01861E-30A
410.0 asec,0.06450E-27A
821.8 asec,4.296E-27A
1.628 fsec,0.5149E-24A
2.628 fsec,9.466E-24A
3.628 fsec,0.06426E-21A
4.628 fsec,0.2870E-21A
5.628 fsec,0.9906E-21A
6.628 fsec,2.856E-21A
7.628 fsec,7.198E-21A
8.628 fsec,0.01635E-18A
9.628 fsec,0.03415E-18A
10.63 fsec,0.06663E-18A
11.63 fsec,0.1228E-18A
12.63 fsec,0.2158E-18A
13.63 fsec,0.3637E-18A
14.63 fsec,0.5916E-18A
15.63 fsec,0.9328E-18A
16.63 fsec,1.431 aA
17.63 fsec,2.142 aA
18.63 fsec,3.138 aA
19.63 fsec,4.507 aA
20.63 fsec,6.360 aA
21.63 fsec,8.833 aA
22.63 fsec,12.09 aA
23.63 fsec,16.32 aA
24.63 fsec,21.77 aA
25.63 fsec,28.71 aA
26.63 fsec,37.47 aA
27.63 fsec,48.43 aA
28.63 fsec,62.02 aA
29.63 fsec,78.77 aA
30.63 fsec,99.24 aA
31.63 fsec,124.1 aA
32.63 fsec,154.2 aA
33.63 fsec,190.3 aA
34.63 fsec,233.3 aA
35.63 fsec,284.5 aA
36.63 fsec,345.1 aA
37.63 fsec,416.3 aA
38.63 fsec,499.8 aA
39.63 fsec,597.3 aA
40.63 fsec,710.5 aA
41.63 fsec,841.8 aA
42.63 fsec,993.2 aA
43.63 fsec,1.167 fA
44.63 fsec,1.367 fA
45.63 fsec,1.596 fA
46.63 fsec,1.856 fA
47.63 fsec,2.152 fA
48.63 fsec,2.487 fA
49.63 fsec,2.866 fA
50.63 fsec,3.294 fA
51.63 fsec,3.775 fA
52.63 fsec,4.315 fA
53.63 fsec,4.919 fA
54.63 fsec,5.595 fA
55.63 fsec,6.349 fA
56.63 fsec,7.189 fA
57.63 fsec,8.121 fA
58.63 fsec,9.155 fA
59.63 fsec,10.30 fA
60.63 fsec,11.57 fA
61.63 fsec,12.96 fA
62.63 fsec,14.50 fA
63.63 fsec,16.19 fA
64.63 fsec,18.05 fA
65.63 fsec,20.09 fA
66.63 fsec,22.32 fA
67.63 fsec,24.76 fA
68.63 fsec,27.42 fA
69.63 fsec,30.33 fA
70.63 fsec,33.50 fA
71.63 fsec,36.94 fA
72.63 fsec,40.69 fA
73.63 fsec,44.75 fA
74.63 fsec,49.16 fA
75.63 fsec,53.93 fA
76.63 fsec,59.10 fA
77.63 fsec,64.68 fA
78.63 fsec,70.70 fA
79.63 fsec,77.20 fA
80.63 fsec,84.21 fA
81.63 fsec,91.75 fA
82.63 fsec,99.87 fA
83.63 fsec,108.6 fA
84.63 fsec,117.9 fA
85.63 fsec,128.0 fA
86.63 fsec,138.8 fA
87.63 fsec,150.3 fA
88.63 fsec,162.6 fA
89.63 fsec,175.8 fA
90.63 fsec,189.9 fA
91.63 fsec,205.0 fA
92.63 fsec,221.1 fA
93.63 fsec,238.2 fA
94.63 fsec,256.5 fA
95.63 fsec,275.9 fA
96.63 fsec,296.6 fA
97.63 fsec,318.6 fA
98.63 fsec,342.0 fA
99.63 fsec,366.9 fA
100.6 fsec,393.2 fA
101.6 fsec,421.2 fA
102.6 fsec,450.9 fA
103.6 fsec,482.3 fA
104.6 fsec,515.6 fA
105.6 fsec,550.8 fA
106.6 fsec,588.1 fA
107.6 fsec,627.5 fA
108.6 fsec,669.1 fA
109.6 fsec,713.1 fA
110.6 fsec,759.5 fA
111.6 fsec,808.5 fA
112.6 fsec,860.1 fA
113.6 fsec,914.6 fA
114.6 fsec,972.0 fA
115.6 fsec,1.032 pA
116.6 fsec,1.096 pA
117.6 fsec,1.163 pA
118.6 fsec,1.233 pA
119.6 fsec,1.307 pA
120.6 fsec,1.385 pA
121.6 fsec,1.467 pA
122.6 fsec,1.552 pA
123.6 fsec,1.642 pA
124.6 fsec,1.737 pA
125.6 fsec,1.836 pA
126.6 fsec,1.940 pA
127.6 fsec,2.049 pA
128.6 fsec,2.162 pA
129.6 fsec,2.282 pA
130.6 fsec,2.407 pA
131.6 fsec,2.537 pA
132.6 fsec,2.674 pA
133.6 fsec,2.817 pA
134.6 fsec,2.967 pA
135.6 fsec,3.123 pA
136.6 fsec,3.286 pA
137.6 fsec,3.456 pA
138.6 fsec,3.634 pA
139.6 fsec,3.820 pA
140.6 fsec,4.013 pA
141.6 fsec,4.215 pA
142.6 fsec,4.426 pA
143.6 fsec,4.646 pA
144.6 fsec,4.874 pA
145.6 fsec,5.113 pA
146.6 fsec,5.361 pA
147.6 fsec,5.619 pA
148.6 fsec,5.888 pA
149.6 fsec,6.168 pA
150.6 fsec,6.459 pA
151.6 fsec,6.762 pA
152.6 fsec,7.077 pA
153.6 fsec,7.405 pA
154.6 fsec,7.745 pA
155.6 fsec,8.098 pA
156.6 fsec,8.465 pA
157.6 fsec,8.847 pA
158.6 fsec,9.242 pA
159.6 fsec,9.653 pA
160.6 fsec,10.08 pA
161.6 fsec,10.52 pA
162.6 fsec,10.98 pA
163.6 fsec,11.46 pA
164.6 fsec,11.95 pA
165.6 fsec,12.46 pA
166.6 fsec,12.99 pA
167.6 fsec,13.54 pA
168.6 fsec,14.11 pA
169.6 fsec,14.70 pA
170.6 fsec,15.31 pA
171.6 fsec,15.94 pA
172.6 fsec,16.59 pA
173.6 fsec,17.27 pA
174.6 fsec,17.97 pA
175.6 fsec,18.69 pA
176.6 fsec,19.44 pA
177.6 fsec,20.21 pA
178.6 fsec,21.01 pA
179.6 fsec,21.84 pA
180.6 fsec,22.69 pA
181.6 fsec,23.57 pA
182.6 fsec,24.48 pA
183.6 fsec,25.43 pA
184.6 fsec,26.40 pA
185.6 fsec,27.40 pA
186.6 fsec,28.44 pA
187.6 fsec,29.51 pA
188.6 fsec,30.61 pA
189.6 fsec,31.75 pA
190.6 fsec,32.92 pA
191.6 fsec,34.13 pA
192.6 fsec,35.38 pA
193.6 fsec,36.67 pA
194.6 fsec,38.00 pA
195.6 fsec,39.36 pA
196.6 fsec,40.77 pA
197.6 fsec,42.23 pA
198.6 fsec,43.72 pA
199.6 fsec,45.27 pA
200.6 fsec,46.85 pA
201.6 fsec,48.49 pA
202.6 fsec,50.17 pA
203.6 fsec,51.91 pA
204.6 fsec,53.69 pA
205.6 fsec,55.52 pA
206.6 fsec,57.41 pA
207.6 fsec,59.36 pA
208.6 fsec,61.36 pA
209.6 fsec,63.41 pA
210.6 fsec,65.53 pA
211.6 fsec,67.70 pA
212.6 fsec,69.94 pA
213.6 fsec,72.24 pA
214.6 fsec,74.60 pA
215.6 fsec,77.03 pA
216.6 fsec,79.53 pA
217.6 fsec,82.09 pA
218.6 fsec,84.72 pA
219.6 fsec,87.43 pA
220.6 fsec,90.21 pA
221.6 fsec,93.06 pA
222.6 fsec,96.00 pA
223.6 fsec,99.00 pA
224.6 fsec,102.1 pA
225.6 fsec,105.3 pA
226.6 fsec,108.5 pA
227.6 fsec,111.9 pA
228.6 fsec,115.3 pA
229.6 fsec,118.8 pA
230.6 fsec,122.4 pA
231.6 fsec,126.1 pA
232.6 fsec,129.9 pA
233.6 fsec,133.8 pA
234.6 fsec,137.8 pA
235.6 fsec,141.9 pA
236.6 fsec,146.1 pA
237.6 fsec,150.4 pA
238.6 fsec,154.8 pA
239.6 fsec,159.3 pA
240.6 fsec,163.9 pA
241.6 fsec,168.7 pA
242.6 fsec,173.5 pA
243.6 fsec,178.5 pA
244.6 fsec,183.6 pA
245.6 fsec,188.8 pA
246.6 fsec,194.2 pA
247.6 fsec,199.7 pA
248.6 fsec,205.3 pA
249.6 fsec,211.0 pA
250.6 fsec,216.9 pA
251.6 fsec,222.9 pA
252.6 fsec,229.1 pA
253.6 fsec,235.4 pA
254.6 fsec,241.8 pA
255.6 fsec,248.4 pA
256.6 fsec,255.2 pA
257.6 fsec,262.1 pA
258.6 fsec,269.2 pA
259.6 fsec,276.4 pA
260.6 fsec,283.8 pA
261.6 fsec,291.3 pA
262.6 fsec,299.1 pA
263.6 fsec,307.0 pA
264.6 fsec,315.1 pA
265.6 fsec,323.3 pA
266.6 fsec,331.8 pA
267.6 fsec,340.4 pA
268.6 fsec,349.2 pA
269.6 fsec,358.3 pA
270.6 fsec,367.5 pA
271.6 fsec,376.9 pA
272.6 fsec,386.5 pA
273.6 fsec,396.4 pA
274.6 fsec,406.4 pA
275.6 fsec,416.7 pA
276.6 fsec,427.1 pA
277.6 fsec,437.9 pA
278.6 fsec,448.8 pA
279.6 fsec,459.9 pA
280.6 fsec,471.3 pA
281.6 fsec,483.0 pA
282.6 fsec,494.9 pA
283.6 fsec,507.0 pA
284.6 fsec,519.4 pA
285.6 fsec,532.0 pA
286.6 fsec,544.9 pA
287.6 fsec,558.1 pA
288.6 fsec,571.5 pA
289.6 fsec,585.2 pA
290.6 fsec,599.2 pA
291.6 fsec,613.5 pA
292.6 fsec,628.0 pA
293.6 fsec,642.9 pA
294.6 fsec,658.0 pA
295.6 fsec,673.5 pA
296.6 fsec,689.2 pA
297.6 fsec,705.3 pA
298.6 fsec,721.7 pA
299.6 fsec,738.4 pA
300.6 fsec,755.4 pA
301.6 fsec,772.8 pA
302.6 fsec,790.5 pA
303.6 fsec,808.6 pA
304.6 fsec,827.0 pA
305.6 fsec,845.7 pA
306.6 fsec,864.8 pA
307.6 fsec,884.3 pA
308.6 fsec,904.2 pA
309.6 fsec,924.4 pA
310.6 fsec,945.0 pA
311.6 fsec,966.0 pA
312.6 fsec,987.4 pA
313.6 fsec,1.009 nA
314.6 fsec,1.031 nA
315.6 fsec,1.054 nA
316.6 fsec,1.077 nA
317.6 fsec,1.101 nA
318.6 fsec,1.125 nA
319.6 fsec,1.149 nA
320.6 fsec,1.174 nA
321.6 fsec,1.199 nA
322.6 fsec,1.225 nA
323.6 fsec,1.251 nA
324.6 fsec,1.277 nA
325.6 fsec,1.305 nA
326.6 fsec,1.332 nA
327.6 fsec,1.360 nA
328.6 fsec,1.389 nA
329.6 fsec,1.418 nA
330.6 fsec,1.448 nA
331.6 fsec,1.478 nA
332.6 fsec,1.509 nA
333.6 fsec,1.540 nA
334.6 fsec,1.572 nA
335.6 fsec,1.604 nA
336.6 fsec,1.637 nA
337.6 fsec,1.670 nA
338.6 fsec,1.704 nA
339.6 fsec,1.739 nA
340.6 fsec,1.774 nA
341.6 fsec,1.810 nA
342.6 fsec,1.847 nA
343.6 fsec,1.884 nA
344.6 fsec,1.921 nA
345.6 fsec,1.960 nA
346.6 fsec,1.999 nA
347.6 fsec,2.038 nA
348.6 fsec,2.079 nA
349.6 fsec,2.120 nA
350.6 fsec,2.162 nA
351.6 fsec,2.204 nA
352.6 fsec,2.247 nA
353.6 fsec,2.291 nA
354.6 fsec,2.335 nA
355.6 fsec,2.381 nA
356.6 fsec,2.427 nA
357.6 fsec,2.473 nA
358.6 fsec,2.521 nA
359.6 fsec,2.569 nA
360.6 fsec,2.618 nA
361.6 fsec,2.668 nA
362.6 fsec,2.719 nA
363.6 fsec,2.770 nA
364.6 fsec,2.823 nA
365.6 fsec,2.876 nA
366.6 fsec,2.930 nA
367.6 fsec,2.985 nA
368.6 fsec,3.040 nA
369.6 fsec,3.097 nA
370.6 fsec,3.154 nA
371.6 fsec,3.213 nA
372.6 fsec,3.272 nA
373.6 fsec,3.332 nA
374.6 fsec,3.394 nA
375.6 fsec,3.456 nA
376.6 fsec,3.519 nA
377.6 fsec,3.583 nA
378.6 fsec,3.648 nA
379.6 fsec,3.714 nA
380.6 fsec,3.781 nA
381.6 fsec,3.849 nA
382.6 fsec,3.918 nA
383.6 fsec,3.988 nA
384.6 fsec,4.060 nA
385.6 fsec,4.132 nA
386.6 fsec,4.205 nA
387.6 fsec,4.280 nA
388.6 fsec,4.355 nA
389.6 fsec,4.432 nA
390.6 fsec,4.510 nA
391.6 fsec,4.589 nA
392.6 fsec,4.669 nA
393.6 fsec,4.751 nA
394.6 fsec,4.833 nA
395.6 fsec,4.917 nA
396.6 fsec,5.002 nA
397.6 fsec,5.089 nA
398.6 fsec,5.176 nA
399.6 fsec,5.265 nA
400.6 fsec,5.355 nA
401.6 fsec,5.447 nA
402.6 fsec,5.539 nA
403.6 fsec,5.634 nA
404.6 fsec,5.729 nA
405.6 fsec,5.826 nA
406.6 fsec,5.924 nA
407.6 fsec,6.024 nA
408.6 fsec,6.125 nA
409.6 fsec,6.227 nA
410.6 fsec,6.331 nA
411.6 fsec,6.436 nA
412.6 fsec,6.543 nA
413.6 fsec,6.651 nA
414.6 fsec,6.761 nA
415.6 fsec,6.873 nA
416.6 fsec,6.986 nA
417.6 fsec,7.100 nA
418.6 fsec,7.216 nA
419.6 fsec,7.334 nA
420.6 fsec,7.453 nA
421.6 fsec,7.574 nA
422.6 fsec,7.697 nA
423.6 fsec,7.821 nA
424.6 fsec,7.947 nA
425.6 fsec,8.075 nA
426.6 fsec,8.204 nA
427.6 fsec,8.336 nA
428.6 fsec,8.469 nA
429.6 fsec,8.603 nA
430.6 fsec,8.740 nA
431.6 fsec,8.878 nA
432.6 fsec,9.019 nA
433.6 fsec,9.161 nA
434.6 fsec,9.305 nA
435.6 fsec,9.451 nA
436.6 fsec,9.599 nA
437.6 fsec,9.749 nA
438.6 fsec,9.900 nA
439.6 fsec,10.05 nA
440.6 fsec,10.21 nA
441.6 fsec,10.37 nA
442.6 fsec,10.53 nA
443.6 fsec,10.69 nA
444.6 fsec,10.85 nA
445.6 fsec,11.02 nA
446.6 fsec,11.19 nA
447.6 fsec,11.36 nA
448.6 fsec,11.53 nA
449.6 fsec,11.71 nA
450.6 fsec,11.88 nA
451.6 fsec,12.06 nA
452.6 fsec,12.25 nA
453.6 fsec,12.43 nA
454.6 fsec,12.62 nA
455.6 fsec,12.80 nA
456.6 fsec,13.00 nA
457.6 fsec,13.19 nA
458.6 fsec,13.39 nA
459.6 fsec,13.58 nA
460.6 fsec,13.79 nA
461.6 fsec,13.99 nA
462.6 fsec,14.19 nA
463.6 fsec,14.40 nA
464.6 fsec,14.61 nA
465.6 fsec,14.83 nA
466.6 fsec,15.04 nA
467.6 fsec,15.26 nA
468.6 fsec,15.49 nA
469.6 fsec,15.71 nA
470.6 fsec,15.94 nA
471.6 fsec,16.17 nA
472.6 fsec,16.40 nA
473.6 fsec,16.64 nA
474.6 fsec,16.87 nA
475.6 fsec,17.12 nA
476.6 fsec,17.36 nA
477.6 fsec,17.61 nA
478.6 fsec,17.86 nA
479.6 fsec,18.11 nA
480.6 fsec,18.37 nA
481.6 fsec,18.63 nA
482.6 fsec,18.89 nA
483.6 fsec,19.16 nA
484.6 fsec,19.42 nA
485.6 fsec,19.70 nA
486.6 fsec,19.97 nA
487.6 fsec,20.25 nA
488.6 fsec,20.53 nA
489.6 fsec,20.82 nA
490.6 fsec,21.10 nA
491.6 fsec,21.40 nA
492.6 fsec,21.69 nA
493.6 fsec,21.99 nA
494.6 fsec,22.29 nA
495.6 fsec,22.60 nA
496.6 fsec,22.91 nA
