"time
References : ['vcap4']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","vcap4
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 V
10.00 asec,10.00E-42V
20.00 asec,0.02996E-39V
50.00 asec,4.463E-39V
140.0 asec,0.04190E-33V
410.0 asec,0.4355E-30V
821.8 asec,0.04532E-27V
1.628 fsec,0.01052E-24V
2.628 fsec,0.2600E-24V
3.628 fsec,2.103E-24V
4.628 fsec,0.01088E-21V
5.628 fsec,0.04282E-21V
6.628 fsec,0.1390E-21V
7.628 fsec,0.3903E-21V
8.628 fsec,0.9790E-21V
9.628 fsec,2.241E-21V
10.63 fsec,4.761E-21V
11.63 fsec,9.497E-21V
12.63 fsec,0.01796E-18V
13.63 fsec,0.03245E-18V
14.63 fsec,0.05633E-18V
15.63 fsec,0.09444E-18V
16.63 fsec,0.1535E-18V
17.63 fsec,0.2429E-18V
18.63 fsec,0.3748E-18V
19.63 fsec,0.5660E-18V
20.63 fsec,0.8376E-18V
21.63 fsec,1.217 aV
22.63 fsec,1.740 aV
23.63 fsec,2.451 aV
24.63 fsec,3.403 aV
25.63 fsec,4.665 aV
26.63 fsec,6.320 aV
27.63 fsec,8.467 aV
28.63 fsec,11.23 aV
29.63 fsec,14.75 aV
30.63 fsec,19.20 aV
31.63 fsec,24.78 aV
32.63 fsec,31.74 aV
33.63 fsec,40.35 aV
34.63 fsec,50.94 aV
35.63 fsec,63.89 aV
36.63 fsec,79.63 aV
37.63 fsec,98.66 aV
38.63 fsec,121.6 aV
39.63 fsec,149.0 aV
40.63 fsec,181.7 aV
41.63 fsec,220.5 aV
42.63 fsec,266.4 aV
43.63 fsec,320.4 aV
44.63 fsec,383.8 aV
45.63 fsec,457.8 aV
46.63 fsec,544.1 aV
47.63 fsec,644.3 aV
48.63 fsec,760.3 aV
49.63 fsec,894.1 aV
50.63 fsec,1.048 fV
51.63 fsec,1.225 fV
52.63 fsec,1.427 fV
53.63 fsec,1.658 fV
54.63 fsec,1.921 fV
55.63 fsec,2.219 fV
56.63 fsec,2.558 fV
57.63 fsec,2.941 fV
58.63 fsec,3.372 fV
59.63 fsec,3.859 fV
60.63 fsec,4.405 fV
61.63 fsec,5.019 fV
62.63 fsec,5.705 fV
63.63 fsec,6.473 fV
64.63 fsec,7.329 fV
65.63 fsec,8.282 fV
66.63 fsec,9.342 fV
67.63 fsec,10.52 fV
68.63 fsec,11.82 fV
69.63 fsec,13.27 fV
70.63 fsec,14.86 fV
71.63 fsec,16.62 fV
72.63 fsec,18.57 fV
73.63 fsec,20.70 fV
74.63 fsec,23.05 fV
75.63 fsec,25.63 fV
76.63 fsec,28.45 fV
77.63 fsec,31.55 fV
78.63 fsec,34.93 fV
79.63 fsec,38.63 fV
80.63 fsec,42.66 fV
81.63 fsec,47.06 fV
82.63 fsec,51.85 fV
83.63 fsec,57.06 fV
