"time
References : ['INPUT']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","INPUT
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 V
10.00 asec,100.0 mV
20.00 asec,200.0 mV
50.00 asec,500.0 mV
140.0 asec,1.000  V
410.0 asec,1.000  V
821.8 asec,1.000  V
1.628 fsec,1.000  V
2.628 fsec,1.000  V
3.628 fsec,1.000  V
4.628 fsec,1.000  V
5.628 fsec,1.000  V
6.628 fsec,1.000  V
7.628 fsec,1.000  V
8.628 fsec,1.000  V
9.628 fsec,1.000  V
10.63 fsec,1.000  V
11.63 fsec,1.000  V
12.63 fsec,1.000  V
13.63 fsec,1.000  V
14.63 fsec,1.000  V
15.63 fsec,1.000  V
16.63 fsec,1.000  V
17.63 fsec,1.000  V
18.63 fsec,1.000  V
19.63 fsec,1.000  V
20.63 fsec,1.000  V
21.63 fsec,1.000  V
22.63 fsec,1.000  V
23.63 fsec,1.000  V
24.63 fsec,1.000  V
25.63 fsec,1.000  V
26.63 fsec,1.000  V
27.63 fsec,1.000  V
28.63 fsec,1.000  V
29.63 fsec,1.000  V
30.63 fsec,1.000  V
31.63 fsec,1.000  V
32.63 fsec,1.000  V
33.63 fsec,1.000  V
34.63 fsec,1.000  V
35.63 fsec,1.000  V
36.63 fsec,1.000  V
37.63 fsec,1.000  V
38.63 fsec,1.000  V
39.63 fsec,1.000  V
40.63 fsec,1.000  V
41.63 fsec,1.000  V
42.63 fsec,1.000  V
43.63 fsec,1.000  V
44.63 fsec,1.000  V
45.63 fsec,1.000  V
46.63 fsec,1.000  V
47.63 fsec,1.000  V
48.63 fsec,1.000  V
49.63 fsec,1.000  V
50.63 fsec,1.000  V
51.63 fsec,1.000  V
52.63 fsec,1.000  V
53.63 fsec,1.000  V
54.63 fsec,1.000  V
55.63 fsec,1.000  V
56.63 fsec,1.000  V
57.63 fsec,1.000  V
58.63 fsec,1.000  V
59.63 fsec,1.000  V
60.63 fsec,1.000  V
61.63 fsec,1.000  V
62.63 fsec,1.000  V
63.63 fsec,1.000  V
64.63 fsec,1.000  V
65.63 fsec,1.000  V
66.63 fsec,1.000  V
67.63 fsec,1.000  V
68.63 fsec,1.000  V
69.63 fsec,1.000  V
70.63 fsec,1.000  V
71.63 fsec,1.000  V
72.63 fsec,1.000  V
73.63 fsec,1.000  V
74.63 fsec,1.000  V
75.63 fsec,1.000  V
76.63 fsec,1.000  V
77.63 fsec,1.000  V
78.63 fsec,1.000  V
79.63 fsec,1.000  V
80.63 fsec,1.000  V
81.63 fsec,1.000  V
82.63 fsec,1.000  V
83.63 fsec,1.000  V
84.63 fsec,1.000  V
85.63 fsec,1.000  V
86.63 fsec,1.000  V
87.63 fsec,1.000  V
88.63 fsec,1.000  V
89.63 fsec,1.000  V
90.63 fsec,1.000  V
91.63 fsec,1.000  V
92.63 fsec,1.000  V
93.63 fsec,1.000  V
94.63 fsec,1.000  V
95.63 fsec,1.000  V
96.63 fsec,1.000  V
97.63 fsec,1.000  V
98.63 fsec,1.000  V
99.63 fsec,1.000  V
100.6 fsec,1.000  V
101.6 fsec,1.000  V
102.6 fsec,1.000  V
103.6 fsec,1.000  V
104.6 fsec,1.000  V
105.6 fsec,1.000  V
106.6 fsec,1.000  V
107.6 fsec,1.000  V
108.6 fsec,1.000  V
109.6 fsec,1.000  V
110.6 fsec,1.000  V
111.6 fsec,1.000  V
112.6 fsec,1.000  V
113.6 fsec,1.000  V
114.6 fsec,1.000  V
115.6 fsec,1.000  V
116.6 fsec,1.000  V
117.6 fsec,1.000  V
118.6 fsec,1.000  V
119.6 fsec,1.000  V
120.6 fsec,1.000  V
121.6 fsec,1.000  V
122.6 fsec,1.000  V
123.6 fsec,1.000  V
124.6 fsec,1.000  V
125.6 fsec,1.000  V
126.6 fsec,1.000  V
127.6 fsec,1.000  V
128.6 fsec,1.000  V
129.6 fsec,1.000  V
130.6 fsec,1.000  V
131.6 fsec,1.000  V
132.6 fsec,1.000  V
133.6 fsec,1.000  V
134.6 fsec,1.000  V
135.6 fsec,1.000  V
136.6 fsec,1.000  V
137.6 fsec,1.000  V
138.6 fsec,1.000  V
139.6 fsec,1.000  V
140.6 fsec,1.000  V
141.6 fsec,1.000  V
142.6 fsec,1.000  V
143.6 fsec,1.000  V
144.6 fsec,1.000  V
145.6 fsec,1.000  V
146.6 fsec,1.000  V
147.6 fsec,1.000  V
148.6 fsec,1.000  V
149.6 fsec,1.000  V
150.6 fsec,1.000  V
151.6 fsec,1.000  V
152.6 fsec,1.000  V
153.6 fsec,1.000  V
154.6 fsec,1.000  V
155.6 fsec,1.000  V
156.6 fsec,1.000  V
157.6 fsec,1.000  V
158.6 fsec,1.000  V
159.6 fsec,1.000  V
160.6 fsec,1.000  V
161.6 fsec,1.000  V
162.6 fsec,1.000  V
163.6 fsec,1.000  V
164.6 fsec,1.000  V
165.6 fsec,1.000  V
166.6 fsec,1.000  V
167.6 fsec,1.000  V
168.6 fsec,1.000  V
169.6 fsec,1.000  V
170.6 fsec,1.000  V
171.6 fsec,1.000  V
172.6 fsec,1.000  V
173.6 fsec,1.000  V
174.6 fsec,1.000  V
175.6 fsec,1.000  V
176.6 fsec,1.000  V
177.6 fsec,1.000  V
178.6 fsec,1.000  V
179.6 fsec,1.000  V
180.6 fsec,1.000  V
181.6 fsec,1.000  V
182.6 fsec,1.000  V
183.6 fsec,1.000  V
184.6 fsec,1.000  V
185.6 fsec,1.000  V
186.6 fsec,1.000  V
187.6 fsec,1.000  V
188.6 fsec,1.000  V
189.6 fsec,1.000  V
190.6 fsec,1.000  V
191.6 fsec,1.000  V
192.6 fsec,1.000  V
193.6 fsec,1.000  V
194.6 fsec,1.000  V
195.6 fsec,1.000  V
196.6 fsec,1.000  V
197.6 fsec,1.000  V
198.6 fsec,1.000  V
199.6 fsec,1.000  V
200.6 fsec,1.000  V
