"time
References : ['TL_in']
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real","TL_in
References : []
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 V
1.000 fsec,992.1 mV
2.000 fsec,988.2 mV
5.000 fsec,976.4 mV
14.00 fsec,941.8 mV
41.00 fsec,845.1 mV
122.0 fsec,609.9 mV
222.0 fsec,410.0 mV
322.0 fsec,281.4 mV
422.0 fsec,201.3 mV
522.0 fsec,154.2 mV
622.0 fsec,129.3 mV
722.0 fsec,119.1 mV
822.0 fsec,118.4 mV
922.0 fsec,123.9 mV
1.022 psec,132.9 mV
1.122 psec,143.7 mV
1.222 psec,155.3 mV
1.322 psec,166.7 mV
1.422 psec,177.4 mV
1.522 psec,187.1 mV
1.622 psec,195.5 mV
1.722 psec,202.5 mV
1.822 psec,208.1 mV
1.922 psec,212.3 mV
2.022 psec,215.2 mV
2.122 psec,216.8 mV
2.222 psec,217.3 mV
2.322 psec,216.8 mV
2.422 psec,215.5 mV
2.522 psec,213.6 mV
2.622 psec,211.1 mV
2.722 psec,208.3 mV
2.822 psec,205.3 mV
2.922 psec,202.3 mV
3.022 psec,199.3 mV
3.122 psec,196.5 mV
3.222 psec,193.9 mV
3.322 psec,191.7 mV
3.422 psec,189.9 mV
3.522 psec,188.5 mV
3.622 psec,187.5 mV
3.722 psec,187.0 mV
3.822 psec,186.8 mV
3.922 psec,187.1 mV
4.022 psec,187.7 mV
4.122 psec,188.6 mV
4.222 psec,189.8 mV
4.322 psec,191.1 mV
4.422 psec,192.5 mV
4.522 psec,193.9 mV
4.622 psec,195.4 mV
4.722 psec,196.7 mV
4.822 psec,198.0 mV
4.922 psec,199.1 mV
5.022 psec,199.9 mV
5.122 psec,200.6 mV
5.222 psec,201.0 mV
5.322 psec,201.2 mV
5.422 psec,201.1 mV
5.522 psec,200.9 mV
5.622 psec,200.4 mV
5.722 psec,199.8 mV
5.822 psec,199.0 mV
5.922 psec,198.1 mV
6.022 psec,197.2 mV
6.122 psec,196.2 mV
6.222 psec,195.2 mV
6.322 psec,194.3 mV
6.422 psec,193.5 mV
6.522 psec,192.7 mV
6.622 psec,192.1 mV
6.722 psec,191.7 mV
6.822 psec,191.4 mV
6.922 psec,191.2 mV
7.022 psec,191.2 mV
7.122 psec,191.4 mV
7.222 psec,191.7 mV
7.322 psec,192.1 mV
7.422 psec,192.6 mV
7.522 psec,193.1 mV
7.622 psec,193.7 mV
7.722 psec,194.3 mV
7.822 psec,194.9 mV
7.922 psec,195.5 mV
8.022 psec,196.0 mV
8.122 psec,196.4 mV
8.222 psec,196.8 mV
8.322 psec,197.0 mV
8.422 psec,197.2 mV
8.522 psec,197.2 mV
8.622 psec,197.1 mV
8.722 psec,196.9 mV
8.822 psec,196.6 mV
8.922 psec,196.2 mV
9.022 psec,195.7 mV
9.122 psec,195.2 mV
9.222 psec,194.7 mV
9.322 psec,194.2 mV
9.422 psec,193.7 mV
9.522 psec,193.2 mV
9.622 psec,192.8 mV
9.722 psec,192.4 mV
9.822 psec,192.1 mV
9.922 psec,191.8 mV
10.02 psec,191.7 mV
10.12 psec,191.6 mV
10.22 psec,191.6 mV
10.32 psec,191.8 mV
10.42 psec,191.9 mV
10.52 psec,192.2 mV
10.62 psec,192.5 mV
10.72 psec,192.8 mV
10.82 psec,193.1 mV
10.92 psec,193.5 mV
11.02 psec,193.8 mV
11.12 psec,194.1 mV
11.22 psec,194.4 mV
11.32 psec,194.6 mV
11.42 psec,194.8 mV
11.52 psec,194.9 mV
11.62 psec,194.9 mV
11.72 psec,194.9 mV
11.82 psec,194.7 mV
11.92 psec,194.6 mV
12.02 psec,194.4 mV
12.12 psec,194.1 mV
12.22 psec,193.8 mV
12.32 psec,193.4 mV
12.42 psec,193.1 mV
12.52 psec,192.7 mV
12.62 psec,192.4 mV
12.72 psec,192.1 mV
12.82 psec,191.8 mV
12.92 psec,191.6 mV
13.02 psec,191.4 mV
13.12 psec,191.2 mV
13.22 psec,191.1 mV
13.32 psec,191.1 mV
13.42 psec,191.1 mV
13.52 psec,191.2 mV
13.62 psec,191.4 mV
13.72 psec,191.5 mV
13.82 psec,191.7 mV
13.92 psec,191.9 mV
14.02 psec,192.1 mV
14.12 psec,192.4 mV
14.22 psec,192.6 mV
14.32 psec,192.8 mV
14.42 psec,192.9 mV
14.52 psec,193.0 mV
14.62 psec,193.1 mV
14.72 psec,193.2 mV
14.82 psec,193.1 mV
14.92 psec,193.1 mV
15.02 psec,193.0 mV
15.12 psec,192.8 mV
15.22 psec,192.6 mV
15.32 psec,192.4 mV
15.42 psec,192.2 mV
15.52 psec,191.9 mV
15.62 psec,191.7 mV
15.72 psec,191.4 mV
15.82 psec,191.2 mV
15.92 psec,190.9 mV
16.02 psec,190.7 mV
16.12 psec,190.6 mV
16.22 psec,190.4 mV
16.32 psec,190.3 mV
16.42 psec,190.3 mV
16.52 psec,190.3 mV
16.62 psec,190.3 mV
16.72 psec,190.4 mV
16.82 psec,190.5 mV
16.92 psec,190.6 mV
17.02 psec,190.7 mV
17.12 psec,190.9 mV
17.22 psec,191.0 mV
17.32 psec,191.2 mV
17.42 psec,191.3 mV
17.52 psec,191.4 mV
17.62 psec,191.5 mV
17.72 psec,191.6 mV
17.82 psec,191.6 mV
17.92 psec,191.6 mV
18.02 psec,191.6 mV
18.12 psec,191.5 mV
18.22 psec,191.4 mV
18.32 psec,191.3 mV
18.42 psec,191.1 mV
18.52 psec,190.9 mV
18.62 psec,190.7 mV
18.72 psec,190.5 mV
18.82 psec,190.3 mV
18.92 psec,190.1 mV
19.02 psec,189.9 mV
19.12 psec,189.8 mV
19.22 psec,189.6 mV
19.32 psec,189.5 mV
19.42 psec,189.4 mV
19.52 psec,189.3 mV
19.62 psec,189.3 mV
19.72 psec,189.3 mV
19.82 psec,189.3 mV
19.92 psec,189.4 mV
20.02 psec,189.4 mV
20.12 psec,189.5 mV
20.22 psec,189.6 mV
20.32 psec,189.7 mV
20.42 psec,189.9 mV
20.52 psec,190.0 mV
20.62 psec,190.0 mV
20.72 psec,190.1 mV
20.82 psec,190.2 mV
20.92 psec,190.2 mV
21.02 psec,190.2 mV
21.12 psec,190.2 mV
21.22 psec,190.1 mV
21.32 psec,190.1 mV
21.42 psec,190.0 mV
21.52 psec,189.8 mV
21.62 psec,189.7 mV
21.72 psec,189.5 mV
21.82 psec,189.4 mV
21.92 psec,189.2 mV
22.02 psec,189.0 mV
22.12 psec,188.9 mV
22.22 psec,188.7 mV
22.32 psec,188.6 mV
22.42 psec,188.4 mV
22.52 psec,188.4 mV
22.62 psec,188.3 mV
22.72 psec,188.2 mV
22.82 psec,188.2 mV
22.92 psec,188.2 mV
23.02 psec,188.2 mV
23.12 psec,188.3 mV
23.22 psec,188.3 mV
23.32 psec,188.4 mV
23.42 psec,188.5 mV
23.52 psec,188.6 mV
23.62 psec,188.6 mV
23.72 psec,188.7 mV
23.82 psec,188.8 mV
23.92 psec,188.8 mV
24.02 psec,188.9 mV
24.12 psec,188.9 mV
24.22 psec,188.8 mV
24.32 psec,188.8 mV
24.42 psec,188.7 mV
24.52 psec,188.7 mV
24.62 psec,188.6 mV
24.72 psec,188.4 mV
24.82 psec,188.3 mV
24.92 psec,188.2 mV
25.02 psec,188.0 mV
25.12 psec,187.9 mV
25.22 psec,187.7 mV
25.32 psec,187.6 mV
25.42 psec,187.5 mV
25.52 psec,187.4 mV
25.62 psec,187.3 mV
25.72 psec,187.2 mV
25.82 psec,187.1 mV
25.92 psec,187.1 mV
26.02 psec,187.1 mV
26.12 psec,187.1 mV
26.22 psec,187.1 mV
26.32 psec,187.1 mV
26.42 psec,187.2 mV
26.52 psec,187.3 mV
26.62 psec,187.3 mV
26.72 psec,187.4 mV
26.82 psec,187.4 mV
26.92 psec,187.5 mV
27.02 psec,187.5 mV
27.12 psec,187.5 mV
27.22 psec,187.5 mV
27.32 psec,187.5 mV
27.42 psec,187.5 mV
27.52 psec,187.5 mV
27.62 psec,187.4 mV
27.72 psec,187.3 mV
27.82 psec,187.2 mV
27.92 psec,187.1 mV
28.02 psec,187.0 mV
28.12 psec,186.9 mV
28.22 psec,186.7 mV
28.32 psec,186.6 mV
28.42 psec,186.5 mV
28.52 psec,186.4 mV
28.62 psec,186.3 mV
28.72 psec,186.2 mV
28.82 psec,186.1 mV
28.92 psec,186.0 mV
29.02 psec,186.0 mV
29.12 psec,185.9 mV
29.22 psec,185.9 mV
29.32 psec,185.9 mV
29.42 psec,186.0 mV
29.52 psec,186.0 mV
29.62 psec,186.0 mV
29.72 psec,186.1 mV
29.82 psec,186.1 mV
29.92 psec,186.2 mV
30.02 psec,186.2 mV
30.12 psec,186.2 mV
30.22 psec,186.2 mV
30.32 psec,186.3 mV
30.42 psec,186.2 mV
30.52 psec,186.2 mV
30.62 psec,186.2 mV
30.72 psec,186.1 mV
30.82 psec,186.1 mV
