"time
References : ['vcap512']
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real","vcap512
References : []
Dependency : [time]
Num. Points : [30006]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 V
1.000 fsec,-3.883 mV
2.000 fsec,-3.876 mV
5.000 fsec,-3.853 mV
14.00 fsec,-3.785 mV
41.00 fsec,-3.598 mV
122.0 fsec,-3.150 mV
222.0 fsec,-2.784 mV
322.0 fsec,-2.566 mV
422.0 fsec,-2.446 mV
522.0 fsec,-2.394 mV
622.0 fsec,-2.387 mV
722.0 fsec,-2.410 mV
822.0 fsec,-2.452 mV
922.0 fsec,-2.505 mV
1.022 psec,-2.565 mV
1.122 psec,-2.628 mV
1.222 psec,-2.692 mV
1.322 psec,-2.755 mV
1.422 psec,-2.816 mV
1.522 psec,-2.875 mV
1.622 psec,-2.930 mV
1.722 psec,-2.983 mV
1.822 psec,-3.032 mV
1.922 psec,-3.079 mV
2.022 psec,-3.122 mV
2.122 psec,-3.164 mV
2.222 psec,-3.203 mV
2.322 psec,-3.240 mV
2.422 psec,-3.275 mV
2.522 psec,-3.310 mV
2.622 psec,-3.343 mV
2.722 psec,-3.376 mV
2.822 psec,-3.409 mV
2.922 psec,-3.441 mV
3.022 psec,-3.474 mV
3.122 psec,-3.508 mV
3.222 psec,-3.542 mV
3.322 psec,-3.577 mV
3.422 psec,-3.612 mV
3.522 psec,-3.649 mV
3.622 psec,-3.686 mV
3.722 psec,-3.725 mV
3.822 psec,-3.764 mV
3.922 psec,-3.804 mV
4.022 psec,-3.844 mV
4.122 psec,-3.886 mV
4.222 psec,-3.927 mV
4.322 psec,-3.969 mV
4.422 psec,-4.011 mV
4.522 psec,-4.053 mV
4.622 psec,-4.095 mV
4.722 psec,-4.136 mV
4.822 psec,-4.178 mV
4.922 psec,-4.219 mV
5.022 psec,-4.259 mV
5.122 psec,-4.299 mV
5.222 psec,-4.339 mV
5.322 psec,-4.378 mV
5.422 psec,-4.416 mV
5.522 psec,-4.455 mV
5.622 psec,-4.493 mV
5.722 psec,-4.530 mV
5.822 psec,-4.567 mV
5.922 psec,-4.604 mV
6.022 psec,-4.641 mV
6.122 psec,-4.678 mV
6.222 psec,-4.716 mV
6.322 psec,-4.753 mV
6.422 psec,-4.790 mV
6.522 psec,-4.828 mV
6.622 psec,-4.866 mV
6.722 psec,-4.904 mV
6.822 psec,-4.943 mV
6.922 psec,-4.982 mV
7.022 psec,-5.021 mV
7.122 psec,-5.060 mV
7.222 psec,-5.100 mV
7.322 psec,-5.140 mV
7.422 psec,-5.180 mV
7.522 psec,-5.220 mV
7.622 psec,-5.260 mV
7.722 psec,-5.300 mV
7.822 psec,-5.341 mV
7.922 psec,-5.381 mV
8.022 psec,-5.421 mV
8.122 psec,-5.460 mV
8.222 psec,-5.500 mV
8.322 psec,-5.539 mV
8.422 psec,-5.578 mV
8.522 psec,-5.617 mV
8.622 psec,-5.656 mV
8.722 psec,-5.694 mV
8.822 psec,-5.733 mV
8.922 psec,-5.771 mV
9.022 psec,-5.809 mV
9.122 psec,-5.847 mV
9.222 psec,-5.885 mV
9.322 psec,-5.923 mV
9.422 psec,-5.961 mV
9.522 psec,-5.999 mV
9.622 psec,-6.037 mV
9.722 psec,-6.075 mV
9.822 psec,-6.114 mV
9.922 psec,-6.152 mV
10.02 psec,-6.191 mV
10.12 psec,-6.230 mV
10.22 psec,-6.269 mV
10.32 psec,-6.308 mV
10.42 psec,-6.348 mV
10.52 psec,-6.387 mV
10.62 psec,-6.427 mV
10.72 psec,-6.467 mV
10.82 psec,-6.506 mV
10.92 psec,-6.546 mV
11.02 psec,-6.586 mV
11.12 psec,-6.625 mV
11.22 psec,-6.665 mV
11.32 psec,-6.704 mV
11.42 psec,-6.743 mV
11.52 psec,-6.782 mV
11.62 psec,-6.821 mV
11.72 psec,-6.860 mV
11.82 psec,-6.899 mV
11.92 psec,-6.937 mV
12.02 psec,-6.976 mV
12.12 psec,-7.014 mV
