"time
References : ['I_sec1.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_sec1.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A
10.00 asec,20.00 nA
20.00 asec,50.00 nA
50.00 asec,260.0 nA
140.0 asec,1.610 uA
410.0 asec,7.005 uA
821.8 asec,15.22 uA
1.628 fsec,31.28 uA
2.628 fsec,51.12 uA
3.628 fsec,70.87 uA
4.628 fsec,90.55 uA
5.628 fsec,110.1 uA
6.628 fsec,129.7 uA
7.628 fsec,149.1 uA
8.628 fsec,168.5 uA
9.628 fsec,187.8 uA
10.63 fsec,207.0 uA
11.63 fsec,226.1 uA
12.63 fsec,245.2 uA
13.63 fsec,264.1 uA
14.63 fsec,283.0 uA
15.63 fsec,301.9 uA
16.63 fsec,320.6 uA
17.63 fsec,339.3 uA
18.63 fsec,357.9 uA
19.63 fsec,376.4 uA
20.63 fsec,394.9 uA
21.63 fsec,413.3 uA
22.63 fsec,431.6 uA
23.63 fsec,449.8 uA
24.63 fsec,468.0 uA
25.63 fsec,486.0 uA
26.63 fsec,504.1 uA
27.63 fsec,522.0 uA
28.63 fsec,539.9 uA
29.63 fsec,557.7 uA
30.63 fsec,575.4 uA
31.63 fsec,593.0 uA
32.63 fsec,610.6 uA
33.63 fsec,628.1 uA
34.63 fsec,645.6 uA
35.63 fsec,663.0 uA
36.63 fsec,680.3 uA
37.63 fsec,697.5 uA
38.63 fsec,714.6 uA
39.63 fsec,731.7 uA
40.63 fsec,748.8 uA
41.63 fsec,765.7 uA
42.63 fsec,782.6 uA
43.63 fsec,799.4 uA
44.63 fsec,816.2 uA
45.63 fsec,832.9 uA
46.63 fsec,849.5 uA
47.63 fsec,866.0 uA
48.63 fsec,882.5 uA
49.63 fsec,898.9 uA
50.63 fsec,915.3 uA
51.63 fsec,931.5 uA
52.63 fsec,947.8 uA
53.63 fsec,963.9 uA
54.63 fsec,980.0 uA
55.63 fsec,996.0 uA
56.63 fsec,1.012 mA
57.63 fsec,1.028 mA
58.63 fsec,1.044 mA
59.63 fsec,1.059 mA
60.63 fsec,1.075 mA
61.63 fsec,1.091 mA
62.63 fsec,1.106 mA
63.63 fsec,1.122 mA
64.63 fsec,1.137 mA
65.63 fsec,1.153 mA
66.63 fsec,1.168 mA
67.63 fsec,1.183 mA
68.63 fsec,1.198 mA
69.63 fsec,1.214 mA
70.63 fsec,1.229 mA
71.63 fsec,1.244 mA
72.63 fsec,1.259 mA
73.63 fsec,1.273 mA
74.63 fsec,1.288 mA
75.63 fsec,1.303 mA
76.63 fsec,1.318 mA
77.63 fsec,1.332 mA
78.63 fsec,1.347 mA
79.63 fsec,1.362 mA
80.63 fsec,1.376 mA
81.63 fsec,1.390 mA
82.63 fsec,1.405 mA
83.63 fsec,1.419 mA
84.63 fsec,1.433 mA
85.63 fsec,1.447 mA
86.63 fsec,1.462 mA
87.63 fsec,1.476 mA
88.63 fsec,1.490 mA
89.63 fsec,1.504 mA
90.63 fsec,1.517 mA
91.63 fsec,1.531 mA
92.63 fsec,1.545 mA
93.63 fsec,1.559 mA
94.63 fsec,1.572 mA
95.63 fsec,1.586 mA
96.63 fsec,1.600 mA
97.63 fsec,1.613 mA
98.63 fsec,1.627 mA
99.63 fsec,1.640 mA
100.6 fsec,1.653 mA
101.6 fsec,1.667 mA
102.6 fsec,1.680 mA
103.6 fsec,1.693 mA
104.6 fsec,1.706 mA
105.6 fsec,1.719 mA
106.6 fsec,1.732 mA
107.6 fsec,1.745 mA
108.6 fsec,1.758 mA
109.6 fsec,1.771 mA
110.6 fsec,1.784 mA
111.6 fsec,1.796 mA
112.6 fsec,1.809 mA
113.6 fsec,1.822 mA
114.6 fsec,1.834 mA
115.6 fsec,1.847 mA
116.6 fsec,1.859 mA
117.6 fsec,1.872 mA
118.6 fsec,1.884 mA
119.6 fsec,1.896 mA
120.6 fsec,1.909 mA
121.6 fsec,1.921 mA
122.6 fsec,1.933 mA
123.6 fsec,1.945 mA
124.6 fsec,1.957 mA
125.6 fsec,1.969 mA
126.6 fsec,1.981 mA
127.6 fsec,1.993 mA
128.6 fsec,2.005 mA
129.6 fsec,2.017 mA
130.6 fsec,2.028 mA
131.6 fsec,2.040 mA
132.6 fsec,2.052 mA
133.6 fsec,2.063 mA
134.6 fsec,2.075 mA
135.6 fsec,2.087 mA
136.6 fsec,2.098 mA
137.6 fsec,2.109 mA
138.6 fsec,2.121 mA
139.6 fsec,2.132 mA
140.6 fsec,2.143 mA
141.6 fsec,2.155 mA
142.6 fsec,2.166 mA
143.6 fsec,2.177 mA
144.6 fsec,2.188 mA
145.6 fsec,2.199 mA
146.6 fsec,2.210 mA
147.6 fsec,2.221 mA
148.6 fsec,2.232 mA
149.6 fsec,2.243 mA
150.6 fsec,2.254 mA
151.6 fsec,2.264 mA
152.6 fsec,2.275 mA
153.6 fsec,2.286 mA
154.6 fsec,2.297 mA
155.6 fsec,2.307 mA
156.6 fsec,2.318 mA
157.6 fsec,2.328 mA
158.6 fsec,2.339 mA
159.6 fsec,2.349 mA
160.6 fsec,2.359 mA
161.6 fsec,2.370 mA
162.6 fsec,2.380 mA
163.6 fsec,2.390 mA
164.6 fsec,2.401 mA
165.6 fsec,2.411 mA
166.6 fsec,2.421 mA
167.6 fsec,2.431 mA
168.6 fsec,2.441 mA
169.6 fsec,2.451 mA
170.6 fsec,2.461 mA
171.6 fsec,2.471 mA
172.6 fsec,2.481 mA
173.6 fsec,2.490 mA
174.6 fsec,2.500 mA
175.6 fsec,2.510 mA
176.6 fsec,2.520 mA
177.6 fsec,2.529 mA
178.6 fsec,2.539 mA
179.6 fsec,2.548 mA
180.6 fsec,2.558 mA
181.6 fsec,2.567 mA
182.6 fsec,2.577 mA
183.6 fsec,2.586 mA
184.6 fsec,2.596 mA
185.6 fsec,2.605 mA
186.6 fsec,2.614 mA
187.6 fsec,2.624 mA
188.6 fsec,2.633 mA
189.6 fsec,2.642 mA
190.6 fsec,2.651 mA
