"time
References : ['I_sec70.i']
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real","I_sec70.i
References : []
Dependency : [time]
Num. Points : [100007]
Matrix Size : scalar
Type : Real"
0.0000 sec,0.0000 A
10.00 asec,0.0000 A
20.00 asec,0.0000 A
50.00 asec,0.0000 A
140.0 asec,0.0000 A
410.0 asec,0.0000 A
821.8 asec,0.0000 A
1.628 fsec,0.0000 A
2.628 fsec,0.0000 A
3.628 fsec,0.0000 A
4.628 fsec,0.0000 A
5.628 fsec,0.0000 A
6.628 fsec,0.0000 A
7.628 fsec,0.0000 A
8.628 fsec,0.0000 A
9.628 fsec,0.0000 A
10.63 fsec,0.0000 A
11.63 fsec,0.0000 A
12.63 fsec,0.0000 A
13.63 fsec,0.0000 A
14.63 fsec,0.0000 A
15.63 fsec,0.0000 A
16.63 fsec,0.0000 A
17.63 fsec,0.0000 A
18.63 fsec,0.0000 A
19.63 fsec,0.0000 A
20.63 fsec,0.0000 A
21.63 fsec,0.0000 A
22.63 fsec,0.0000 A
23.63 fsec,0.0000 A
24.63 fsec,0.0000 A
25.63 fsec,0.0000 A
26.63 fsec,0.0000 A
27.63 fsec,0.0000 A
28.63 fsec,0.0000 A
29.63 fsec,0.0000 A
30.63 fsec,0.0000 A
31.63 fsec,0.0000 A
32.63 fsec,0.0000 A
33.63 fsec,0.0000 A
34.63 fsec,0.0000 A
35.63 fsec,0.0000 A
36.63 fsec,0.0000 A
37.63 fsec,0.0000 A
38.63 fsec,0.0000 A
39.63 fsec,0.0000 A
40.63 fsec,0.0000 A
41.63 fsec,0.0000 A
42.63 fsec,0.0000 A
43.63 fsec,0.0000 A
44.63 fsec,0.0000 A
45.63 fsec,0.0000 A
46.63 fsec,0.0000 A
47.63 fsec,0.0000 A
48.63 fsec,0.0000 A
49.63 fsec,0.0000 A
50.63 fsec,0.0000 A
51.63 fsec,0.0000 A
52.63 fsec,0.0000 A
53.63 fsec,0.0000 A
54.63 fsec,0.0000 A
55.63 fsec,0.0000 A
56.63 fsec,0.0000 A
57.63 fsec,0.0000 A
58.63 fsec,0.0000 A
59.63 fsec,0.0000 A
60.63 fsec,0.0000 A
61.63 fsec,0.0000 A
62.63 fsec,0.0000 A
63.63 fsec,0.0000 A
64.63 fsec,0.0000 A
65.63 fsec,0.0000 A
66.63 fsec,0.0000 A
67.63 fsec,0.0000 A
68.63 fsec,0.0000 A
69.63 fsec,0.0000 A
70.63 fsec,0.0000 A
71.63 fsec,0.0000 A
72.63 fsec,0.0000 A
73.63 fsec,0.0000 A
74.63 fsec,0.0000 A
75.63 fsec,0.0000 A
76.63 fsec,0.0000 A
77.63 fsec,0.0000 A
78.63 fsec,0.0000 A
79.63 fsec,0.0000 A
80.63 fsec,0.0000 A
81.63 fsec,0.0000 A
82.63 fsec,0.0000 A
83.63 fsec,0.0000 A
84.63 fsec,0.0000 A
85.63 fsec,0.0000 A
86.63 fsec,0.0000 A
87.63 fsec,0.0000 A
88.63 fsec,0.0000 A
89.63 fsec,0.0000 A
90.63 fsec,0.0000 A
91.63 fsec,0.0000 A
92.63 fsec,0.0000 A
93.63 fsec,0.0000 A
94.63 fsec,0.0000 A
95.63 fsec,0.0000 A
96.63 fsec,0.0000 A
97.63 fsec,0.0000 A
98.63 fsec,0.0000 A
99.63 fsec,0.0000 A
100.6 fsec,0.0000 A
101.6 fsec,0.0000 A
102.6 fsec,0.0000 A
103.6 fsec,0.0000 A
104.6 fsec,0.0000 A
105.6 fsec,0.0000 A
106.6 fsec,0.0000 A
107.6 fsec,0.0000 A
108.6 fsec,0.0000 A
109.6 fsec,0.0000 A
110.6 fsec,0.0000 A
111.6 fsec,0.0000 A
112.6 fsec,0.0000 A
113.6 fsec,0.0000 A
114.6 fsec,0.0000 A
115.6 fsec,0.0000 A
116.6 fsec,0.0000 A
117.6 fsec,0.0000 A
118.6 fsec,0.0000 A
119.6 fsec,0.0000 A
120.6 fsec,0.0000 A
121.6 fsec,0.0000 A
122.6 fsec,0.0000 A
123.6 fsec,0.0000 A
124.6 fsec,0.0000 A
125.6 fsec,0.0000 A
126.6 fsec,0.0000 A
127.6 fsec,0.0000 A
128.6 fsec,0.0000 A
129.6 fsec,0.0000 A
130.6 fsec,0.0000 A
131.6 fsec,0.0000 A
132.6 fsec,0.0000 A
133.6 fsec,0.0000 A
134.6 fsec,0.0000 A
135.6 fsec,0.0000 A
136.6 fsec,0.0000 A
137.6 fsec,0.0000 A
138.6 fsec,0.0000 A
139.6 fsec,0.0000 A
140.6 fsec,0.0000 A
141.6 fsec,0.0000 A
142.6 fsec,0.0000 A
143.6 fsec,0.0000 A
144.6 fsec,0.0000 A
145.6 fsec,0.0000 A
146.6 fsec,0.0000 A
147.6 fsec,0.0000 A
148.6 fsec,0.0000 A
149.6 fsec,0.0000 A
150.6 fsec,0.0000 A
151.6 fsec,0.0000 A
152.6 fsec,0.0000 A
153.6 fsec,0.0000 A
154.6 fsec,0.0000 A
155.6 fsec,0.0000 A
156.6 fsec,0.0000 A
157.6 fsec,0.0000 A
158.6 fsec,0.0000 A
159.6 fsec,0.0000 A
160.6 fsec,0.0000 A
161.6 fsec,0.0000 A
162.6 fsec,0.0000 A
163.6 fsec,0.0000 A
164.6 fsec,0.0000 A
165.6 fsec,0.0000 A
166.6 fsec,0.0000 A
167.6 fsec,0.0000 A
168.6 fsec,0.0000 A
169.6 fsec,0.0000 A
170.6 fsec,0.0000 A
171.6 fsec,0.0000 A
172.6 fsec,0.0000 A
173.6 fsec,0.0000 A
174.6 fsec,0.0000 A
175.6 fsec,0.0000 A
176.6 fsec,0.0000 A
177.6 fsec,0.0000 A
178.6 fsec,0.0000 A
179.6 fsec,0.0000 A
180.6 fsec,0.0000 A
181.6 fsec,0.0000 A
182.6 fsec,0.0000 A
183.6 fsec,0.0000 A
184.6 fsec,0.0000 A
185.6 fsec,0.0000 A
186.6 fsec,0.0000 A
187.6 fsec,0.0000 A
188.6 fsec,0.0000 A
189.6 fsec,0.0000 A
190.6 fsec,0.0000 A
191.6 fsec,0.0000 A
192.6 fsec,0.0000 A
193.6 fsec,0.0000 A
194.6 fsec,0.0000 A
195.6 fsec,0.0000 A
196.6 fsec,0.0000 A
197.6 fsec,0.0000 A
198.6 fsec,0.0000 A
199.6 fsec,0.0000 A
200.6 fsec,0.0000 A
201.6 fsec,0.0000 A
202.6 fsec,0.0000 A
203.6 fsec,0.0000 A
204.6 fsec,0.0000 A
205.6 fsec,0.0000 A
206.6 fsec,0.0000 A
207.6 fsec,0.0000 A
208.6 fsec,0.0000 A
209.6 fsec,0.0000 A
210.6 fsec,0.0000 A
211.6 fsec,0.0000 A
212.6 fsec,0.0000 A
213.6 fsec,0.0000 A
214.6 fsec,0.0000 A
215.6 fsec,0.0000 A
216.6 fsec,0.0000 A
217.6 fsec,0.0000 A
218.6 fsec,0.0000 A
219.6 fsec,0.0000 A
220.6 fsec,0.0000 A
221.6 fsec,0.0000 A
222.6 fsec,0.0000 A
223.6 fsec,0.0000 A
224.6 fsec,0.0000 A
225.6 fsec,0.0000 A
226.6 fsec,0.0000 A
227.6 fsec,0.0000 A
228.6 fsec,0.0000 A
